1.collectionobject.catalogNumber,1.collectionobject.projectNumber,"1,9-determinations,4.taxon.Life","1,9-determinations,4.taxon.Kingdom","1,9-determinations,4.taxon.Phylum","1,9-determinations,4.taxon.Class","1,9-determinations,4.taxon.Order","1,9-determinations,4.taxon.Suborder","1,9-determinations,4.taxon.Infraorder","1,9-determinations,4.taxon.Superfamily","1,9-determinations,4.taxon.Family","1,9-determinations,4.taxon.Subfamily","1,9-determinations,4.taxon.Tribe","1,9-determinations,4.taxon.Genus","1,9-determinations,4.taxon.Subgenus","1,9-determinations,4.taxon.Species","1,9-determinations,4.taxon.Subspecies","1,9-determinations,4.taxon.fullName","1,10,2,3.geography.Continent","1,10,2,3.geography.Country","1,10,2,3.geography.State","1,10,2,3.geography.County","1,10,2,3.geography.fullName","1,10,2.locality.localityName","1,10,2.locality.latitude1","1,10,2.locality.longitude1","1,10.collectingevent.startDate","1,10.collectingevent.endDate"
ZMB_Orth_BA000001S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Romaleidae,Romaleinae,Diponthini,Diponthus,,dispar,,"Diponthus dispar Gerstaecker, 1873",South America,Brazil,,,"Brazil, South America",Allegrette [Alegrete],,,,
ZMB_Orth_BA000002S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Romaleidae,Romaleinae,Diponthini,Diponthus,,porphyreum,,"Diponthus porphyreum (Gerstaecker, 1873)",South America,Brazil,,,"Brazil, South America",Brazil,,,,
ZMB_Orth_BA000003S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Romaleidae,Romaleinae,Diponthini,Diponthus,,virgatus,,"Diponthus virgatus (Gerstaecker, 1873)",South America,Brazil,São Paulo,,"São Paulo, Brazil, South America",Salto Grande [at Paranapanema River],-22.9000000000,-49.9833333333,,
ZMB_Orth_BA000004S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Perakia,,maculipennis,,"Perakia maculipennis Ramme, 1930",Asia,Indonesia,Sumatera [Sumatra],,"Sumatera [Sumatra], Indonesia, Asia",Soekaranda,,,,
ZMB_Orth_BA000005S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Perakia,,mindanaensis,,"Perakia mindanaensis Ramme, 1930",Asia,Philippines,Mindanao,,"Mindanao, Philippines, Asia",Mindanao,8.0000000000,125.0000000000,,
ZMB_Orth_BA000006S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Acrididae,Catantopinae,,Perakia,,striatipennis,,"Perakia striatipennis Ramme, 1930",Asia,Indonesia,Sumatera [Sumatra],,"Sumatera [Sumatra], Indonesia, Asia",Soekaranda,,,,
ZMB_Orth_BA000007S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Mecostibus,,sublaevis,,"Mecostibus sublaevis Karsch, 1896",Africa,Tanzania,,,"Tanzania, Africa",Lake Tanganyika,,,,
ZMB_Orth_BA000007S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Mecostibus,,sublaevis,,"Mecostibus sublaevis Karsch, 1896",Africa,Tanzania,,,"Tanzania, Africa",Lake Tanganyika,,,,
ZMB_Orth_BA000008S01,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Mecostiboides,,physalus,,"Mecostiboides physalus Karsch, 1896",Africa,Tanzania,Tanga province,,"Tanga province, Tanzania, Africa",Buloa near Tanga,-5.0666666667,39.1000000000,,
ZMB_Orth_BA000008S02,,Life,Animalia,Chordata,Insecta,Orthoptera,Caelifera,,Acridoidea,Lentulidae,Lentulinae,,Mecostiboides,,physalus,,"Mecostiboides physalus Karsch, 1896",Africa,Tanzania,Tanga province,,"Tanga province, Tanzania, Africa",Buloa near Tanga,-5.0666666667,39.1000000000,,
